Training:   0%|                                                                                                           | 0/100 [00:00<?, ?it/s]D:\involuntary\works\classes\ANN\HW1\codes\loss.py:39: RuntimeWarning: divide by zero encountered in log
20:41:36.449      Training iter 100, batch loss 0.0004, batch acc 0.9898
20:41:36.699      Training iter 150, batch loss 0.0004, batch acc 0.9896
20:41:36.926      Training iter 200, batch loss 0.0004, batch acc 0.9924
20:41:37.160      Training iter 250, batch loss 0.0004, batch acc 0.9904
20:41:37.397      Training iter 300, batch loss 0.0004, batch acc 0.9906
20:41:37.568      Training iter 350, batch loss 0.0004, batch acc 0.9866
20:41:37.726      Training iter 400, batch loss 0.0004, batch acc 0.9894
20:41:37.892      Training iter 450, batch loss 0.0004, batch acc 0.9892
20:41:38.096      Training iter 500, batch loss 0.0004, batch acc 0.9910
20:41:38.288      Training iter 550, batch loss 0.0005, batch acc 0.9874
20:41:38.485      Training iter 600, batch loss 0.0004, batch acc 0.9906
20:41:38.487 Testing @ 29 epoch...
20:41:38.594      Testing, total mean loss 0.00077, total acc 0.97510
20:41:38.764      Training iter 50, batch loss 0.0005, batch acc 0.9872
20:41:38.909      Training iter 100, batch loss 0.0003, batch acc 0.9918
20:41:39.100      Training iter 150, batch loss 0.0004, batch acc 0.9886
20:41:39.316      Training iter 200, batch loss 0.0003, batch acc 0.9928
20:41:39.485      Training iter 250, batch loss 0.0004, batch acc 0.9886
20:41:39.639      Training iter 300, batch loss 0.0004, batch acc 0.9902
20:41:39.774      Training iter 350, batch loss 0.0003, batch acc 0.9918
20:41:39.888      Training iter 400, batch loss 0.0004, batch acc 0.9902
20:41:40.010      Training iter 450, batch loss 0.0004, batch acc 0.9890
20:41:40.145      Training iter 500, batch loss 0.0004, batch acc 0.9892
20:41:40.284      Training iter 550, batch loss 0.0004, batch acc 0.9898
20:41:40.428      Training iter 600, batch loss 0.0004, batch acc 0.9878
20:41:40.430 Testing @ 30 epoch...
20:41:40.517      Testing, total mean loss 0.00075, total acc 0.97630
20:41:40.674      Training iter 50, batch loss 0.0004, batch acc 0.9916
20:41:40.878      Training iter 100, batch loss 0.0003, batch acc 0.9942
20:41:41.027      Training iter 150, batch loss 0.0004, batch acc 0.9894
20:41:41.159      Training iter 200, batch loss 0.0004, batch acc 0.9900
20:41:41.312      Training iter 250, batch loss 0.0004, batch acc 0.9904
20:41:41.449      Training iter 300, batch loss 0.0003, batch acc 0.9918
20:41:41.697      Training iter 350, batch loss 0.0004, batch acc 0.9878
20:41:41.942      Training iter 400, batch loss 0.0004, batch acc 0.9912
20:41:42.192      Training iter 450, batch loss 0.0004, batch acc 0.9908
20:41:42.451      Training iter 500, batch loss 0.0004, batch acc 0.9908
20:41:42.687      Training iter 550, batch loss 0.0004, batch acc 0.9890
20:41:42.930      Training iter 600, batch loss 0.0004, batch acc 0.9872
20:41:42.935 Testing @ 31 epoch...
20:41:43.123      Testing, total mean loss 0.00071, total acc 0.97700
20:41:43.366      Training iter 50, batch loss 0.0003, batch acc 0.9938
20:41:43.664      Training iter 100, batch loss 0.0004, batch acc 0.9910
20:41:44.236      Training iter 150, batch loss 0.0003, batch acc 0.9916
20:41:44.813      Training iter 200, batch loss 0.0004, batch acc 0.9914
20:41:45.395      Training iter 250, batch loss 0.0003, batch acc 0.9916
20:41:45.969      Training iter 300, batch loss 0.0003, batch acc 0.9920
20:41:46.510      Training iter 350, batch loss 0.0004, batch acc 0.9906
20:41:47.071      Training iter 400, batch loss 0.0004, batch acc 0.9890
20:41:47.636      Training iter 450, batch loss 0.0004, batch acc 0.9904
20:41:48.202      Training iter 500, batch loss 0.0004, batch acc 0.9902
20:41:48.694      Training iter 550, batch loss 0.0004, batch acc 0.9896
20:41:49.192      Training iter 600, batch loss 0.0004, batch acc 0.9894
20:41:49.204 Testing @ 32 epoch...
20:41:49.644      Testing, total mean loss 0.00073, total acc 0.97670
20:41:50.178      Training iter 50, batch loss 0.0003, batch acc 0.9920
20:41:50.637      Training iter 100, batch loss 0.0004, batch acc 0.9916
20:41:51.072      Training iter 150, batch loss 0.0003, batch acc 0.9916
20:41:51.482      Training iter 200, batch loss 0.0003, batch acc 0.9924
20:41:52.012      Training iter 250, batch loss 0.0003, batch acc 0.9920
20:41:52.466      Training iter 300, batch loss 0.0004, batch acc 0.9896
20:41:52.976      Training iter 350, batch loss 0.0004, batch acc 0.9898
20:41:53.383      Training iter 400, batch loss 0.0003, batch acc 0.9936
20:41:53.697      Training iter 450, batch loss 0.0004, batch acc 0.9898
20:41:54.118      Training iter 500, batch loss 0.0003, batch acc 0.9934
20:41:54.466      Training iter 550, batch loss 0.0004, batch acc 0.9916
20:41:54.959      Training iter 600, batch loss 0.0003, batch acc 0.9908
20:41:54.969 Testing @ 33 epoch...
20:41:55.422      Testing, total mean loss 0.00076, total acc 0.97490
20:41:55.967      Training iter 50, batch loss 0.0003, batch acc 0.9930
20:41:56.526      Training iter 100, batch loss 0.0004, batch acc 0.9920
20:41:57.052      Training iter 150, batch loss 0.0004, batch acc 0.9900
20:41:57.303      Training iter 200, batch loss 0.0003, batch acc 0.9938
20:41:57.560      Training iter 250, batch loss 0.0003, batch acc 0.9932
20:41:57.813      Training iter 300, batch loss 0.0003, batch acc 0.9910
20:41:58.102      Training iter 350, batch loss 0.0003, batch acc 0.9934
20:41:58.368      Training iter 400, batch loss 0.0003, batch acc 0.9910
20:41:58.603      Training iter 450, batch loss 0.0003, batch acc 0.9918
20:41:58.814      Training iter 500, batch loss 0.0003, batch acc 0.9902
20:41:58.925      Training iter 550, batch loss 0.0003, batch acc 0.9910
20:41:59.045      Training iter 600, batch loss 0.0003, batch acc 0.9920
20:41:59.046 Testing @ 34 epoch...
20:41:59.163      Testing, total mean loss 0.00073, total acc 0.97890
20:41:59.410      Training iter 50, batch loss 0.0003, batch acc 0.9930
20:41:59.668      Training iter 100, batch loss 0.0003, batch acc 0.9930
20:41:59.901      Training iter 150, batch loss 0.0003, batch acc 0.9922
20:42:00.145      Training iter 200, batch loss 0.0003, batch acc 0.9938
20:42:00.399      Training iter 250, batch loss 0.0003, batch acc 0.9938
20:42:00.649      Training iter 300, batch loss 0.0004, batch acc 0.9914
20:42:00.894      Training iter 350, batch loss 0.0004, batch acc 0.9912
20:42:01.137      Training iter 400, batch loss 0.0003, batch acc 0.9920
20:42:01.394      Training iter 450, batch loss 0.0004, batch acc 0.9914
20:42:01.649      Training iter 500, batch loss 0.0003, batch acc 0.9932
20:42:01.888      Training iter 550, batch loss 0.0003, batch acc 0.9910
20:42:02.133      Training iter 600, batch loss 0.0003, batch acc 0.9912
20:42:02.134 Testing @ 35 epoch...
20:42:02.311      Testing, total mean loss 0.00070, total acc 0.97810
20:42:02.564      Training iter 50, batch loss 0.0003, batch acc 0.9942
20:42:02.848      Training iter 100, batch loss 0.0003, batch acc 0.9932
20:42:03.103      Training iter 150, batch loss 0.0003, batch acc 0.9948
20:42:03.368      Training iter 200, batch loss 0.0003, batch acc 0.9936
20:42:03.644      Training iter 250, batch loss 0.0003, batch acc 0.9920
20:42:03.916      Training iter 300, batch loss 0.0003, batch acc 0.9932
20:42:04.142      Training iter 350, batch loss 0.0003, batch acc 0.9916
20:42:04.396      Training iter 400, batch loss 0.0004, batch acc 0.9902
20:42:04.650      Training iter 450, batch loss 0.0003, batch acc 0.9922
20:42:04.905      Training iter 500, batch loss 0.0003, batch acc 0.9932
20:42:05.161      Training iter 550, batch loss 0.0003, batch acc 0.9914
20:42:05.430      Training iter 600, batch loss 0.0003, batch acc 0.9914
20:42:05.437 Testing @ 36 epoch...
20:42:05.625      Testing, total mean loss 0.00072, total acc 0.97690
20:42:05.880      Training iter 50, batch loss 0.0003, batch acc 0.9932
20:42:06.130      Training iter 100, batch loss 0.0003, batch acc 0.9938
20:42:06.394      Training iter 150, batch loss 0.0003, batch acc 0.9928
20:42:06.650      Training iter 200, batch loss 0.0003, batch acc 0.9938
20:42:06.920      Training iter 250, batch loss 0.0003, batch acc 0.9928
20:42:07.171      Training iter 300, batch loss 0.0003, batch acc 0.9918
20:42:07.427      Training iter 350, batch loss 0.0003, batch acc 0.9950
20:42:07.669      Training iter 400, batch loss 0.0004, batch acc 0.9932
20:42:07.912      Training iter 450, batch loss 0.0003, batch acc 0.9950
20:42:08.167      Training iter 500, batch loss 0.0003, batch acc 0.9924
20:42:08.418      Training iter 550, batch loss 0.0003, batch acc 0.9920
20:42:08.680      Training iter 600, batch loss 0.0003, batch acc 0.9936
20:42:08.682 Testing @ 37 epoch...
20:42:08.865      Testing, total mean loss 0.00072, total acc 0.97700
20:42:09.115      Training iter 50, batch loss 0.0003, batch acc 0.9938
20:42:09.365      Training iter 100, batch loss 0.0003, batch acc 0.9930
20:42:09.602      Training iter 150, batch loss 0.0003, batch acc 0.9934
20:42:09.853      Training iter 200, batch loss 0.0003, batch acc 0.9930
20:42:10.133      Training iter 250, batch loss 0.0003, batch acc 0.9914
20:42:10.391      Training iter 300, batch loss 0.0003, batch acc 0.9940
20:42:10.651      Training iter 350, batch loss 0.0004, batch acc 0.9918
20:42:10.914      Training iter 400, batch loss 0.0002, batch acc 0.9960
20:42:11.175      Training iter 450, batch loss 0.0003, batch acc 0.9942
20:42:11.427      Training iter 500, batch loss 0.0003, batch acc 0.9916
20:42:11.697      Training iter 550, batch loss 0.0003, batch acc 0.9950
20:42:11.956      Training iter 600, batch loss 0.0003, batch acc 0.9936
20:42:11.969 Testing @ 38 epoch...
20:42:12.149      Testing, total mean loss 0.00073, total acc 0.97590
20:42:12.401      Training iter 50, batch loss 0.0003, batch acc 0.9922
20:42:12.664      Training iter 100, batch loss 0.0003, batch acc 0.9946
20:42:12.914      Training iter 150, batch loss 0.0003, batch acc 0.9946
20:42:13.168      Training iter 200, batch loss 0.0003, batch acc 0.9922
20:42:13.409      Training iter 250, batch loss 0.0003, batch acc 0.9918
20:42:13.669      Training iter 300, batch loss 0.0002, batch acc 0.9958
20:42:13.920      Training iter 350, batch loss 0.0003, batch acc 0.9934
20:42:14.181      Training iter 400, batch loss 0.0003, batch acc 0.9938
20:42:14.436      Training iter 450, batch loss 0.0003, batch acc 0.9936
20:42:14.695      Training iter 500, batch loss 0.0003, batch acc 0.9932
20:42:14.951      Training iter 550, batch loss 0.0003, batch acc 0.9938
20:42:15.220      Training iter 600, batch loss 0.0003, batch acc 0.9938
20:42:15.226 Testing @ 39 epoch...
20:42:15.423      Testing, total mean loss 0.00069, total acc 0.97870
20:42:15.668      Training iter 50, batch loss 0.0002, batch acc 0.9964
20:42:15.924      Training iter 100, batch loss 0.0003, batch acc 0.9954
20:42:16.193      Training iter 150, batch loss 0.0003, batch acc 0.9932
20:42:16.458      Training iter 200, batch loss 0.0003, batch acc 0.9938
20:42:16.709      Training iter 250, batch loss 0.0003, batch acc 0.9938
20:42:16.984      Training iter 300, batch loss 0.0002, batch acc 0.9942
20:42:17.220      Training iter 350, batch loss 0.0002, batch acc 0.9942
20:42:17.442      Training iter 400, batch loss 0.0003, batch acc 0.9928
20:42:17.708      Training iter 450, batch loss 0.0003, batch acc 0.9936
20:42:17.959      Training iter 500, batch loss 0.0003, batch acc 0.9934
20:42:18.225      Training iter 550, batch loss 0.0002, batch acc 0.9938
20:42:18.492      Training iter 600, batch loss 0.0003, batch acc 0.9956
20:42:18.500 Testing @ 40 epoch...
20:42:18.670      Testing, total mean loss 0.00070, total acc 0.97780
20:42:18.922      Training iter 50, batch loss 0.0003, batch acc 0.9944
20:42:19.173      Training iter 100, batch loss 0.0002, batch acc 0.9942
20:42:19.427      Training iter 150, batch loss 0.0003, batch acc 0.9936
20:42:19.677      Training iter 200, batch loss 0.0002, batch acc 0.9950
20:42:19.936      Training iter 250, batch loss 0.0002, batch acc 0.9972
20:42:20.196      Training iter 300, batch loss 0.0003, batch acc 0.9946
20:42:20.454      Training iter 350, batch loss 0.0003, batch acc 0.9944
20:42:20.692      Training iter 400, batch loss 0.0003, batch acc 0.9932
20:42:20.928      Training iter 450, batch loss 0.0003, batch acc 0.9948
20:42:21.156      Training iter 500, batch loss 0.0002, batch acc 0.9948
20:42:21.388      Training iter 550, batch loss 0.0002, batch acc 0.9940
20:42:21.652      Training iter 600, batch loss 0.0002, batch acc 0.9958
20:42:21.654 Testing @ 41 epoch...
20:42:21.827      Testing, total mean loss 0.00072, total acc 0.97800
20:42:22.094      Training iter 50, batch loss 0.0002, batch acc 0.9942
20:42:22.349      Training iter 100, batch loss 0.0003, batch acc 0.9942
20:42:22.601      Training iter 150, batch loss 0.0002, batch acc 0.9944
20:42:22.795      Training iter 200, batch loss 0.0002, batch acc 0.9968
20:42:23.048      Training iter 250, batch loss 0.0002, batch acc 0.9960
20:42:23.317      Training iter 300, batch loss 0.0003, batch acc 0.9928
20:42:23.589      Training iter 350, batch loss 0.0003, batch acc 0.9950
20:42:23.849      Training iter 400, batch loss 0.0002, batch acc 0.9940
20:42:24.102      Training iter 450, batch loss 0.0003, batch acc 0.9942
20:42:24.386      Training iter 500, batch loss 0.0002, batch acc 0.9948
20:42:24.654      Training iter 550, batch loss 0.0003, batch acc 0.9946
20:42:24.899      Training iter 600, batch loss 0.0002, batch acc 0.9958
20:42:24.912 Testing @ 42 epoch...
20:42:25.100      Testing, total mean loss 0.00071, total acc 0.97780
20:42:25.370      Training iter 50, batch loss 0.0002, batch acc 0.9958
20:42:25.616      Training iter 100, batch loss 0.0002, batch acc 0.9954
20:42:25.894      Training iter 150, batch loss 0.0003, batch acc 0.9942
20:42:26.162      Training iter 200, batch loss 0.0002, batch acc 0.9950
20:42:26.426      Training iter 250, batch loss 0.0002, batch acc 0.9960
20:42:26.686      Training iter 300, batch loss 0.0002, batch acc 0.9952
20:42:26.943      Training iter 350, batch loss 0.0002, batch acc 0.9952
20:42:27.179      Training iter 400, batch loss 0.0002, batch acc 0.9952
20:42:27.446      Training iter 450, batch loss 0.0002, batch acc 0.9946
20:42:27.697      Training iter 500, batch loss 0.0002, batch acc 0.9950
20:42:27.947      Training iter 550, batch loss 0.0003, batch acc 0.9944
20:42:28.195      Training iter 600, batch loss 0.0003, batch acc 0.9928
20:42:28.197 Testing @ 43 epoch...
20:42:28.397      Testing, total mean loss 0.00070, total acc 0.97930
20:42:28.672      Training iter 50, batch loss 0.0002, batch acc 0.9956
20:42:28.926      Training iter 100, batch loss 0.0002, batch acc 0.9954
20:42:29.162      Training iter 150, batch loss 0.0002, batch acc 0.9970
20:42:29.418      Training iter 200, batch loss 0.0002, batch acc 0.9958
20:42:29.666      Training iter 250, batch loss 0.0003, batch acc 0.9946
20:42:29.912      Training iter 300, batch loss 0.0002, batch acc 0.9972
20:42:30.167      Training iter 350, batch loss 0.0002, batch acc 0.9964
20:42:30.426      Training iter 400, batch loss 0.0003, batch acc 0.9940
20:42:30.643      Training iter 450, batch loss 0.0002, batch acc 0.9958
20:42:30.906      Training iter 500, batch loss 0.0002, batch acc 0.9962
20:42:31.159      Training iter 550, batch loss 0.0002, batch acc 0.9960
20:42:31.420      Training iter 600, batch loss 0.0002, batch acc 0.9940
20:42:31.429 Testing @ 44 epoch...
20:42:31.629      Testing, total mean loss 0.00070, total acc 0.97770
20:42:31.894      Training iter 50, batch loss 0.0002, batch acc 0.9972
20:42:32.139      Training iter 100, batch loss 0.0002, batch acc 0.9968
20:42:32.397      Training iter 150, batch loss 0.0002, batch acc 0.9976
20:42:32.662      Training iter 200, batch loss 0.0002, batch acc 0.9956
20:42:32.928      Training iter 250, batch loss 0.0002, batch acc 0.9958
20:42:33.187      Training iter 300, batch loss 0.0003, batch acc 0.9940
20:42:33.445      Training iter 350, batch loss 0.0002, batch acc 0.9952
20:42:33.715      Training iter 400, batch loss 0.0003, batch acc 0.9938
20:42:33.957      Training iter 450, batch loss 0.0002, batch acc 0.9964
20:42:34.207      Training iter 500, batch loss 0.0002, batch acc 0.9964
20:42:34.474      Training iter 550, batch loss 0.0002, batch acc 0.9954
20:42:34.726      Training iter 600, batch loss 0.0003, batch acc 0.9954
20:42:34.739 Testing @ 45 epoch...
20:42:34.880      Testing, total mean loss 0.00070, total acc 0.97710
20:42:35.140      Training iter 50, batch loss 0.0002, batch acc 0.9950
20:42:35.345      Training iter 100, batch loss 0.0002, batch acc 0.9972
20:42:35.555      Training iter 150, batch loss 0.0002, batch acc 0.9970
20:42:35.744      Training iter 200, batch loss 0.0002, batch acc 0.9950
20:42:35.968      Training iter 250, batch loss 0.0002, batch acc 0.9954
20:42:36.201      Training iter 300, batch loss 0.0002, batch acc 0.9944
20:42:36.436      Training iter 350, batch loss 0.0002, batch acc 0.9962
20:42:36.651      Training iter 400, batch loss 0.0002, batch acc 0.9960
20:42:36.883      Training iter 450, batch loss 0.0002, batch acc 0.9966
20:42:37.109      Training iter 500, batch loss 0.0002, batch acc 0.9970
20:42:37.329      Training iter 550, batch loss 0.0002, batch acc 0.9962
20:42:37.542      Training iter 600, batch loss 0.0002, batch acc 0.9956
20:42:37.544 Testing @ 46 epoch...
20:42:37.702      Testing, total mean loss 0.00071, total acc 0.97660
20:42:37.935      Training iter 50, batch loss 0.0002, batch acc 0.9964
20:42:38.165      Training iter 100, batch loss 0.0003, batch acc 0.9952
20:42:38.385      Training iter 150, batch loss 0.0002, batch acc 0.9958
20:42:38.599      Training iter 200, batch loss 0.0002, batch acc 0.9964
20:42:38.821      Training iter 250, batch loss 0.0002, batch acc 0.9980
20:42:39.063      Training iter 300, batch loss 0.0002, batch acc 0.9962
20:42:39.309      Training iter 350, batch loss 0.0002, batch acc 0.9964
20:42:39.545      Training iter 400, batch loss 0.0002, batch acc 0.9964
20:42:39.790      Training iter 450, batch loss 0.0002, batch acc 0.9964
20:42:40.023      Training iter 500, batch loss 0.0002, batch acc 0.9974
20:42:40.240      Training iter 550, batch loss 0.0002, batch acc 0.9958
20:42:40.485      Training iter 600, batch loss 0.0002, batch acc 0.9946
20:42:40.497 Testing @ 47 epoch...
20:42:40.676      Testing, total mean loss 0.00068, total acc 0.97850
20:42:40.926      Training iter 50, batch loss 0.0002, batch acc 0.9962
20:42:41.190      Training iter 100, batch loss 0.0002, batch acc 0.9984
20:42:41.464      Training iter 150, batch loss 0.0002, batch acc 0.9980
20:42:41.704      Training iter 200, batch loss 0.0002, batch acc 0.9968
20:42:41.961      Training iter 250, batch loss 0.0002, batch acc 0.9954
20:42:42.225      Training iter 300, batch loss 0.0002, batch acc 0.9962
20:42:42.485      Training iter 350, batch loss 0.0002, batch acc 0.9970
20:42:42.725      Training iter 400, batch loss 0.0002, batch acc 0.9952
20:42:42.975      Training iter 450, batch loss 0.0002, batch acc 0.9952
20:42:43.227      Training iter 500, batch loss 0.0002, batch acc 0.9952
20:42:43.474      Training iter 550, batch loss 0.0002, batch acc 0.9968
20:42:43.719      Training iter 600, batch loss 0.0002, batch acc 0.9956
20:42:43.727 Testing @ 48 epoch...
20:42:43.905      Testing, total mean loss 0.00069, total acc 0.97810
20:42:44.168      Training iter 50, batch loss 0.0002, batch acc 0.9984
20:42:44.418      Training iter 100, batch loss 0.0002, batch acc 0.9974
20:42:44.644      Training iter 150, batch loss 0.0002, batch acc 0.9978
20:42:44.899      Training iter 200, batch loss 0.0002, batch acc 0.9952
20:42:45.155      Training iter 250, batch loss 0.0002, batch acc 0.9970
20:42:45.411      Training iter 300, batch loss 0.0002, batch acc 0.9960
20:42:45.670      Training iter 350, batch loss 0.0002, batch acc 0.9948
20:42:45.921      Training iter 400, batch loss 0.0002, batch acc 0.9968
20:42:46.194      Training iter 450, batch loss 0.0002, batch acc 0.9970
20:42:46.461      Training iter 500, batch loss 0.0002, batch acc 0.9978
20:42:46.700      Training iter 550, batch loss 0.0002, batch acc 0.9948
20:42:46.970      Training iter 600, batch loss 0.0002, batch acc 0.9976
20:42:46.974 Testing @ 49 epoch...
20:42:47.156      Testing, total mean loss 0.00067, total acc 0.97890
20:42:47.414      Training iter 50, batch loss 0.0002, batch acc 0.9968
20:42:47.673      Training iter 100, batch loss 0.0002, batch acc 0.9978
20:42:47.924      Training iter 150, batch loss 0.0002, batch acc 0.9958
20:42:48.189      Training iter 200, batch loss 0.0002, batch acc 0.9976
20:42:48.435      Training iter 250, batch loss 0.0002, batch acc 0.9966
20:42:48.692      Training iter 300, batch loss 0.0002, batch acc 0.9970
20:42:48.929      Training iter 350, batch loss 0.0002, batch acc 0.9978
20:42:49.177      Training iter 400, batch loss 0.0002, batch acc 0.9966
20:42:49.298      Training iter 450, batch loss 0.0002, batch acc 0.9966
20:42:49.421      Training iter 500, batch loss 0.0002, batch acc 0.9974
20:42:49.612      Training iter 550, batch loss 0.0002, batch acc 0.9956
20:42:49.798      Training iter 600, batch loss 0.0002, batch acc 0.9960
20:42:49.812 Testing @ 50 epoch...
20:42:49.982      Testing, total mean loss 0.00068, total acc 0.97810
20:42:50.256      Training iter 50, batch loss 0.0002, batch acc 0.9976
20:42:50.503      Training iter 100, batch loss 0.0002, batch acc 0.9980
20:42:50.731      Training iter 150, batch loss 0.0002, batch acc 0.9974
20:42:50.953      Training iter 200, batch loss 0.0002, batch acc 0.9968
20:42:51.178      Training iter 250, batch loss 0.0002, batch acc 0.9978
20:42:51.455      Training iter 300, batch loss 0.0002, batch acc 0.9978
20:42:51.715      Training iter 350, batch loss 0.0002, batch acc 0.9948
20:42:51.825      Training iter 400, batch loss 0.0002, batch acc 0.9948
20:42:51.939      Training iter 450, batch loss 0.0002, batch acc 0.9956
20:42:52.096      Training iter 500, batch loss 0.0001, batch acc 0.9984
20:42:52.352      Training iter 550, batch loss 0.0002, batch acc 0.9958
20:42:52.634      Training iter 600, batch loss 0.0002, batch acc 0.9962
20:42:52.636 Testing @ 51 epoch...
20:42:52.810      Testing, total mean loss 0.00070, total acc 0.97870
20:42:53.018      Training iter 50, batch loss 0.0002, batch acc 0.9972
20:42:53.205      Training iter 100, batch loss 0.0002, batch acc 0.9986
20:42:53.340      Training iter 150, batch loss 0.0002, batch acc 0.9964
20:42:53.452      Training iter 200, batch loss 0.0002, batch acc 0.9976
20:42:53.610      Training iter 250, batch loss 0.0002, batch acc 0.9966
20:42:53.817      Training iter 300, batch loss 0.0001, batch acc 0.9978
20:42:54.060      Training iter 350, batch loss 0.0002, batch acc 0.9960
20:42:54.298      Training iter 400, batch loss 0.0002, batch acc 0.9972
20:42:54.556      Training iter 450, batch loss 0.0002, batch acc 0.9974
20:42:54.813      Training iter 500, batch loss 0.0002, batch acc 0.9984
20:42:55.053      Training iter 550, batch loss 0.0002, batch acc 0.9966
20:42:55.302      Training iter 600, batch loss 0.0002, batch acc 0.9970
20:42:55.316 Testing @ 52 epoch...
20:42:55.510      Testing, total mean loss 0.00069, total acc 0.97740
20:42:55.766      Training iter 50, batch loss 0.0002, batch acc 0.9974
20:42:56.031      Training iter 100, batch loss 0.0002, batch acc 0.9982
20:42:56.277      Training iter 150, batch loss 0.0002, batch acc 0.9966
20:42:56.550      Training iter 200, batch loss 0.0002, batch acc 0.9980
20:42:56.822      Training iter 250, batch loss 0.0002, batch acc 0.9982
20:42:57.080      Training iter 300, batch loss 0.0002, batch acc 0.9972
20:42:57.333      Training iter 350, batch loss 0.0002, batch acc 0.9976
20:42:57.597      Training iter 400, batch loss 0.0002, batch acc 0.9976
20:42:57.876      Training iter 450, batch loss 0.0002, batch acc 0.9978
20:42:58.142      Training iter 500, batch loss 0.0002, batch acc 0.9970
20:42:58.395      Training iter 550, batch loss 0.0002, batch acc 0.9972
20:42:58.660      Training iter 600, batch loss 0.0002, batch acc 0.9958
20:42:58.662 Testing @ 53 epoch...
20:42:58.861      Testing, total mean loss 0.00068, total acc 0.97860
20:42:59.130      Training iter 50, batch loss 0.0002, batch acc 0.9980
20:42:59.393      Training iter 100, batch loss 0.0002, batch acc 0.9978
20:42:59.658      Training iter 150, batch loss 0.0002, batch acc 0.9980
20:42:59.921      Training iter 200, batch loss 0.0002, batch acc 0.9978
20:43:00.171      Training iter 250, batch loss 0.0002, batch acc 0.9972
20:43:00.423      Training iter 300, batch loss 0.0002, batch acc 0.9972
20:43:00.693      Training iter 350, batch loss 0.0001, batch acc 0.9976
20:43:00.964      Training iter 400, batch loss 0.0002, batch acc 0.9972
20:43:01.220      Training iter 450, batch loss 0.0002, batch acc 0.9968
20:43:01.477      Training iter 500, batch loss 0.0002, batch acc 0.9978
20:43:01.632      Training iter 550, batch loss 0.0001, batch acc 0.9982
20:43:01.733      Training iter 600, batch loss 0.0001, batch acc 0.9982
20:43:01.740 Testing @ 54 epoch...
20:43:01.798      Testing, total mean loss 0.00070, total acc 0.97820
20:43:02.013      Training iter 50, batch loss 0.0002, batch acc 0.9980
20:43:02.246      Training iter 100, batch loss 0.0002, batch acc 0.9988
20:43:02.455      Training iter 150, batch loss 0.0001, batch acc 0.9986
20:43:02.712      Training iter 200, batch loss 0.0001, batch acc 0.9984
20:43:02.974      Training iter 250, batch loss 0.0002, batch acc 0.9972
20:43:03.222      Training iter 300, batch loss 0.0002, batch acc 0.9964
Traceback (most recent call last):
  File "D:\involuntary\works\classes\ANN\HW1\codes\run_mlp.py", line 87, in <module>
    processor(model, loss, tr_data, te_data, tr_label, te_label, train_config)
  File "D:\involuntary\works\classes\ANN\HW1\codes\run_mlp.py", line 71, in processor
    iteration = train_net(mdl, los, config, train_data, train_label, config['batch_size'], config['disp_freq'])
  File "D:\involuntary\works\classes\ANN\HW1\codes\solve_net.py", line 33, in train_net
    model.backward(grad)
  File "D:\involuntary\works\classes\ANN\HW1\codes\network.py", line 21, in backward
    grad_input = self.layer_list[i].backward(grad_input)
  File "D:\involuntary\works\classes\ANN\HW1\codes\layers.py", line 139, in backward
    return ret.copy()
KeyboardInterrupt
